Time (S)	Ch1 Voltage (V)	Ch2 Voltage (V)	
-4.000E-3	0.06750	0.24375
-3.996E-3	0.02000	0.25000
-3.992E-3	0.08000	0.24000
-3.988E-3	0.06000	0.24000
-3.984E-3	0.04000	0.25000
-3.980E-3	0.04000	0.24000
-3.976E-3	0.08000	0.24000
-3.972E-3	0.06000	0.22000
-3.968E-3	0.06000	0.25000
-3.964E-3	0.04000	0.24000
-3.960E-3	0.06000	0.23000
-3.956E-3	0.06000	0.25000
-3.952E-3	0.02000	0.23000
-3.948E-3	0.06000	0.25000
-3.944E-3	0.04000	0.22000
-3.940E-3	0.04000	0.24000
-3.936E-3	0.06000	0.24000
-3.932E-3	0.10000	0.25000
-3.928E-3	0.04000	0.24000
-3.924E-3	0.04000	0.24000
-3.920E-3	0.00000	0.25000
-3.916E-3	0.04000	0.24000
-3.912E-3	0.04000	0.24000
-3.908E-3	0.02000	0.24000
-3.904E-3	0.02000	0.24000
-3.900E-3	0.04000	0.26000
-3.896E-3	0.02000	0.24000
-3.892E-3	0.08000	0.24000
-3.888E-3	0.04000	0.25000
-3.884E-3	0.04000	0.22000
-3.880E-3	0.02000	0.25000
-3.876E-3	0.08000	0.25000
-3.872E-3	0.02000	0.25000
-3.868E-3	0.08000	0.25000
-3.864E-3	0.06000	0.26000
-3.860E-3	0.06000	0.24000
-3.856E-3	-0.02000	0.22000
-3.852E-3	0.04000	0.25000
-3.848E-3	0.08000	0.25000
-3.844E-3	-0.02000	0.25000
-3.840E-3	0.04000	0.22000
-3.836E-3	0.08000	0.24000
-3.832E-3	0.02000	0.24000
-3.828E-3	0.04000	0.24000
-3.824E-3	0.08000	0.24000
-3.820E-3	0.04000	0.25000
-3.816E-3	0.08000	0.25000
-3.812E-3	0.02000	0.24000
-3.808E-3	0.02000	0.22000
-3.804E-3	0.04000	0.23000
-3.800E-3	0.08000	0.25000
-3.796E-3	0.02000	0.25000
-3.792E-3	0.02000	0.25000
-3.788E-3	0.04000	0.25000
-3.784E-3	0.04000	0.25000
-3.780E-3	0.00000	0.25000
-3.776E-3	0.04000	0.23000
-3.772E-3	0.02000	0.23000
-3.768E-3	0.08000	0.27000
-3.764E-3	-0.02000	0.24000
-3.760E-3	0.04000	0.24000
-3.756E-3	0.00000	0.24000
-3.752E-3	0.04000	0.24000
-3.748E-3	0.04000	0.24000
-3.744E-3	0.02000	0.24000
-3.740E-3	0.02000	0.25000
-3.736E-3	0.04000	0.25000
-3.732E-3	0.08000	0.25000
-3.728E-3	0.04000	0.26000
-3.724E-3	0.04000	0.24000
-3.720E-3	0.02000	0.24000
-3.716E-3	0.02000	0.25000
-3.712E-3	0.02000	0.25000
-3.708E-3	0.02000	0.26000
-3.704E-3	0.04000	0.24000
-3.700E-3	0.04000	0.25000
-3.696E-3	0.02000	0.22000
-3.692E-3	0.06000	0.25000
-3.688E-3	0.02000	0.24000
-3.684E-3	0.08000	0.25000
-3.680E-3	0.06000	0.24000
-3.676E-3	0.02000	0.24000
-3.672E-3	0.08000	0.24000
-3.668E-3	0.02000	0.24000
-3.664E-3	0.04000	0.25000
-3.660E-3	0.04000	0.25000
-3.656E-3	0.00000	0.23000
-3.652E-3	0.08000	0.25000
-3.648E-3	0.02000	0.25000
-3.644E-3	0.04000	0.26000
-3.640E-3	0.02000	0.24000
-3.636E-3	0.02000	0.23000
-3.632E-3	0.00000	0.25000
-3.628E-3	0.08000	0.25000
-3.624E-3	0.02000	0.22000
-3.620E-3	0.06000	0.25000
-3.616E-3	0.04000	0.25000
-3.612E-3	0.04000	0.24000
-3.608E-3	0.04000	0.25000
-3.604E-3	0.02000	0.23000
-3.600E-3	0.04000	0.25000
-3.596E-3	0.02000	0.25000
-3.592E-3	0.02000	0.25000
-3.588E-3	0.00000	0.24000
-3.584E-3	0.08000	0.24000
-3.580E-3	0.02000	0.24000
-3.576E-3	0.10000	0.22000
-3.572E-3	0.02000	0.25000
-3.568E-3	0.04000	0.25000
-3.564E-3	0.04000	0.24000
-3.560E-3	-0.02000	0.22000
-3.556E-3	0.00000	0.25000
-3.552E-3	0.04000	0.24000
-3.548E-3	0.06000	0.24000
-3.544E-3	0.04000	0.22000
-3.540E-3	0.04000	0.23000
-3.536E-3	0.02000	0.25000
-3.532E-3	0.04000	0.24000
-3.528E-3	0.02000	0.24000
-3.524E-3	0.04000	0.25000
-3.520E-3	0.04000	0.24000
-3.516E-3	0.02000	0.25000
-3.512E-3	0.00000	0.25000
-3.508E-3	0.04000	0.24000
-3.504E-3	0.04000	0.24000
-3.500E-3	0.02000	0.25000
-3.496E-3	0.04000	0.25000
-3.492E-3	0.08000	0.23000
-3.488E-3	0.04000	0.25000
-3.484E-3	0.08000	0.23000
-3.480E-3	0.02000	0.24000
-3.476E-3	0.04000	0.26000
-3.472E-3	0.06000	0.24000
-3.468E-3	-0.02000	0.22000
-3.464E-3	0.04000	0.25000
-3.460E-3	0.06000	0.25000
-3.456E-3	0.02000	0.23000
-3.452E-3	0.06000	0.25000
-3.448E-3	0.02000	0.27000
-3.444E-3	0.02000	0.25000
-3.440E-3	0.02000	0.25000
-3.436E-3	0.06000	0.23000
-3.432E-3	0.06000	0.25000
-3.428E-3	0.02000	0.27000
-3.424E-3	0.04000	0.24000
-3.420E-3	0.06000	0.23000
-3.416E-3	0.08000	0.25000
-3.412E-3	0.02000	0.25000
-3.408E-3	0.00000	0.25000
-3.404E-3	0.04000	0.23000
-3.400E-3	0.06000	0.25000
-3.396E-3	0.06000	0.25000
-3.392E-3	0.04000	0.25000
