Time (S)	Ch1 Voltage (V)	Ch2 Voltage (V)	
-1.720E-4	0.02750	0.17500
-1.718E-4	0.04000	0.24000
-1.716E-4	-0.02000	0.12000
-1.714E-4	0.00000	0.20000
-1.712E-4	0.00000	0.28000
-1.710E-4	0.04000	0.20000
-1.708E-4	0.04000	0.16000
-1.706E-4	0.02000	0.16000
-1.704E-4	0.08000	0.12000
-1.702E-4	0.02000	0.28000
-1.700E-4	-0.02000	0.16000
-1.698E-4	0.02000	0.16000
-1.696E-4	0.04000	0.08000
-1.694E-4	-0.02000	0.20000
-1.692E-4	0.08000	0.16000
-1.690E-4	0.02000	0.00000
-1.688E-4	0.08000	0.20000
-1.686E-4	0.02000	0.20000
-1.684E-4	0.04000	0.08000
-1.682E-4	0.04000	0.16000
-1.680E-4	0.04000	0.24000
-1.678E-4	0.04000	0.16000
-1.676E-4	0.02000	0.16000
-1.674E-4	0.02000	0.12000
-1.672E-4	0.04000	0.08000
-1.670E-4	0.06000	0.20000
-1.668E-4	-0.02000	0.20000
-1.666E-4	0.08000	0.20000
-1.664E-4	0.06000	0.08000
-1.662E-4	-0.04000	0.20000
-1.660E-4	0.08000	0.08000
-1.658E-4	-0.02000	0.20000
-1.656E-4	0.00000	0.24000
-1.654E-4	0.04000	0.16000
-1.652E-4	-0.02000	0.20000
-1.650E-4	0.00000	0.20000
-1.648E-4	0.12000	0.28000
-1.646E-4	-0.02000	0.16000
-1.644E-4	0.06000	0.20000
-1.642E-4	0.02000	0.12000
-1.640E-4	0.04000	0.20000
-1.638E-4	0.06000	0.12000
-1.636E-4	0.04000	0.24000
-1.634E-4	0.06000	0.16000
-1.632E-4	0.06000	0.16000
-1.630E-4	0.08000	0.16000
-1.628E-4	0.06000	0.20000
-1.626E-4	-0.02000	0.08000
-1.624E-4	0.02000	0.20000
-1.622E-4	0.06000	0.16000
-1.620E-4	-0.04000	0.08000
-1.618E-4	0.08000	0.24000
-1.616E-4	-0.02000	0.20000
-1.614E-4	0.04000	0.12000
-1.612E-4	0.08000	0.20000
-1.610E-4	0.02000	0.24000
-1.608E-4	0.00000	0.12000
-1.606E-4	0.02000	0.08000
-1.604E-4	-0.02000	0.24000
-1.602E-4	0.04000	0.16000
-1.600E-4	0.08000	0.28000
-1.598E-4	-0.02000	0.16000
-1.596E-4	0.00000	0.16000
-1.594E-4	-0.04000	0.20000
-1.592E-4	-0.06000	0.16000
-1.590E-4	0.04000	0.12000
-1.588E-4	0.02000	0.00000
-1.586E-4	-0.02000	0.16000
-1.584E-4	0.04000	0.12000
-1.582E-4	-0.02000	0.12000
-1.580E-4	0.08000	0.20000
-1.578E-4	-0.02000	0.12000
-1.576E-4	-0.02000	0.16000
-1.574E-4	0.04000	0.20000
-1.572E-4	0.06000	0.08000
-1.570E-4	-0.02000	0.20000
-1.568E-4	0.00000	0.08000
-1.566E-4	0.04000	0.04000
-1.564E-4	0.06000	0.20000
-1.562E-4	0.04000	0.12000
-1.560E-4	0.02000	0.20000
-1.558E-4	0.08000	0.28000
-1.556E-4	0.04000	0.08000
-1.554E-4	0.04000	0.20000
-1.552E-4	-0.02000	0.08000
-1.550E-4	-0.02000	0.24000
-1.548E-4	0.02000	0.20000
-1.546E-4	0.02000	0.16000
-1.544E-4	0.02000	0.08000
-1.542E-4	0.04000	0.20000
-1.540E-4	0.04000	0.12000
-1.538E-4	0.02000	0.28000
-1.536E-4	-0.04000	0.00000
-1.534E-4	0.04000	0.16000
-1.532E-4	0.04000	0.20000
-1.530E-4	0.08000	0.08000
-1.528E-4	0.06000	0.28000
-1.526E-4	-0.02000	0.24000
-1.524E-4	0.04000	0.16000
-1.522E-4	0.02000	0.20000
-1.520E-4	0.04000	0.12000
-1.518E-4	0.02000	0.12000
-1.516E-4	0.08000	0.12000
-1.514E-4	0.02000	0.16000
-1.512E-4	0.04000	0.20000
-1.510E-4	0.02000	0.12000
-1.508E-4	0.04000	0.08000
-1.506E-4	0.02000	0.20000
-1.504E-4	0.08000	0.16000
-1.502E-4	-0.02000	0.16000
-1.500E-4	0.04000	0.08000
-1.498E-4	0.04000	0.20000
-1.496E-4	0.00000	0.20000
-1.494E-4	0.00000	0.24000
-1.492E-4	0.04000	0.16000
-1.490E-4	0.02000	0.16000
-1.488E-4	0.04000	0.28000
-1.486E-4	0.08000	0.00000
-1.484E-4	-0.02000	0.28000
-1.482E-4	0.02000	0.08000
-1.480E-4	0.02000	0.20000
-1.478E-4	0.02000	0.24000
-1.476E-4	-0.02000	0.16000
-1.474E-4	0.02000	0.20000
-1.472E-4	0.04000	0.20000
-1.470E-4	0.08000	0.08000
-1.468E-4	0.08000	0.08000
-1.466E-4	0.00000	0.20000
-1.464E-4	0.12000	0.20000
-1.462E-4	0.02000	0.12000
-1.460E-4	0.04000	0.16000
-1.458E-4	0.00000	0.08000
-1.456E-4	0.02000	0.12000
-1.454E-4	-0.02000	0.08000
-1.452E-4	0.02000	0.20000
-1.450E-4	0.00000	0.16000
-1.448E-4	-0.02000	0.28000
-1.446E-4	0.06000	0.08000
-1.444E-4	0.02000	0.08000
-1.442E-4	0.00000	0.12000
-1.440E-4	0.04000	0.16000
-1.438E-4	0.04000	0.16000
-1.436E-4	0.02000	0.20000
-1.434E-4	0.00000	0.12000
-1.432E-4	0.08000	0.20000
-1.430E-4	0.02000	0.20000
-1.428E-4	0.06000	0.24000
-1.426E-4	0.06000	0.16000
-1.424E-4	0.02000	0.16000
-1.422E-4	0.04000	0.20000
-1.420E-4	0.04000	0.12000
-1.418E-4	0.00000	0.08000
-1.416E-4	0.00000	0.20000
-1.414E-4	0.04000	0.16000
-1.412E-4	0.00000	0.16000
-1.410E-4	0.00000	0.16000
-1.408E-4	-0.02000	0.16000
-1.406E-4	0.00000	0.12000
