Freq. (Hz)	Offset (V)	Ampl. (V)	Phase (Rad)
1.000E+2	2.411E-3	2.487E-2	-9.109E-2
1.100E+3	2.475E-4	2.722E-1	1.094E-1
2.100E+3	-1.315E-3	5.105E-1	2.409E-1
3.100E+3	-4.504E-4	7.309E-1	3.536E-1
4.100E+3	-1.967E-3	9.342E-1	4.718E-1
5.100E+3	8.204E-3	1.115E+0	5.790E-1
6.100E+3	3.313E-3	1.269E+0	6.753E-1
7.100E+3	-1.000E-3	1.403E+0	7.556E-1
8.100E+3	-6.731E-3	1.515E+0	8.376E-1
9.100E+3	-6.712E-3	1.611E+0	9.119E-1
1.010E+4	3.939E-4	1.690E+0	9.931E-1
1.110E+4	-1.942E-3	1.757E+0	1.055E+0
1.210E+4	-6.200E-3	1.812E+0	1.100E+0
1.310E+4	-4.683E-3	1.858E+0	1.144E+0
1.410E+4	-7.533E-3	1.894E+0	1.201E+0
1.510E+4	-1.747E-3	1.926E+0	1.275E+0
1.610E+4	5.311E-3	1.949E+0	1.319E+0
1.710E+4	-6.876E-3	1.967E+0	1.362E+0
1.810E+4	-4.524E-3	1.983E+0	1.401E+0
1.910E+4	-4.344E-3	2.010E+0	1.434E+0
2.010E+4	-7.829E-3	2.016E+0	1.472E+0
2.110E+4	3.523E-3	2.022E+0	1.504E+0
2.210E+4	1.923E-3	2.026E+0	1.545E+0
2.310E+4	4.619E-4	2.028E+0	1.570E+0
2.410E+4	3.976E-3	2.027E+0	1.596E+0
2.510E+4	2.631E-3	2.025E+0	1.620E+0
2.610E+4	-4.489E-3	2.021E+0	1.651E+0
2.710E+4	1.029E-3	2.018E+0	1.683E+0
2.810E+4	-6.742E-4	2.012E+0	1.713E+0
2.910E+4	-2.515E-3	2.005E+0	1.729E+0
3.010E+4	9.127E-4	1.996E+0	1.772E+0
3.110E+4	1.364E-2	1.988E+0	1.794E+0
3.210E+4	1.226E-2	1.977E+0	1.814E+0
3.310E+4	2.428E-3	1.966E+0	1.838E+0
3.410E+4	-4.545E-5	1.955E+0	1.868E+0
3.510E+4	2.561E-3	1.944E+0	1.883E+0
3.610E+4	2.010E-3	1.933E+0	1.896E+0
3.710E+4	1.112E-4	1.922E+0	1.920E+0
3.810E+4	6.074E-3	1.911E+0	1.935E+0
3.910E+4	4.282E-3	1.897E+0	1.968E+0
4.010E+4	-6.613E-3	1.884E+0	1.972E+0
4.110E+4	-1.126E-2	1.869E+0	2.002E+0
4.210E+4	-3.326E-3	1.855E+0	2.013E+0
4.310E+4	-1.961E-3	1.840E+0	2.028E+0
4.410E+4	-2.404E-3	1.828E+0	2.051E+0
4.510E+4	5.107E-3	1.815E+0	2.065E+0
4.610E+4	1.083E-3	1.801E+0	2.074E+0
4.710E+4	9.988E-3	1.788E+0	2.094E+0
4.810E+4	5.721E-3	1.773E+0	2.116E+0
4.910E+4	1.147E-2	1.759E+0	2.122E+0
5.010E+4	1.844E-3	1.745E+0	2.139E+0
5.110E+4	-1.779E-3	1.730E+0	2.152E+0
5.210E+4	-8.896E-3	1.718E+0	2.169E+0
5.310E+4	8.238E-3	1.705E+0	2.185E+0
5.410E+4	1.818E-2	1.690E+0	2.184E+0
5.510E+4	8.225E-3	1.678E+0	2.225E+0
5.610E+4	1.199E-2	1.664E+0	2.210E+0
5.710E+4	-8.219E-4	1.647E+0	2.238E+0
5.810E+4	-1.355E-2	1.634E+0	2.247E+0
5.910E+4	-5.025E-3	1.623E+0	2.271E+0
6.010E+4	-3.547E-3	1.609E+0	2.280E+0
6.110E+4	6.354E-3	1.595E+0	2.290E+0
6.210E+4	1.323E-2	1.581E+0	2.304E+0
6.310E+4	4.427E-3	1.568E+0	2.319E+0
6.410E+4	3.846E-4	1.555E+0	2.324E+0
6.510E+4	-9.978E-4	1.543E+0	2.340E+0
6.610E+4	-1.183E-2	1.528E+0	2.349E+0
6.710E+4	-1.054E-2	1.516E+0	2.355E+0
6.810E+4	4.438E-3	1.502E+0	2.374E+0
6.910E+4	2.350E-3	1.491E+0	2.384E+0
7.010E+4	1.154E-2	1.476E+0	2.389E+0
7.110E+4	3.081E-3	1.465E+0	2.398E+0
7.210E+4	-1.178E-3	1.453E+0	2.410E+0
7.310E+4	-1.123E-2	1.440E+0	2.432E+0
7.410E+4	3.901E-3	1.430E+0	2.428E+0
7.510E+4	-5.169E-3	1.418E+0	2.435E+0
7.610E+4	-8.503E-3	1.407E+0	2.450E+0
7.710E+4	-4.884E-3	1.396E+0	2.457E+0
7.810E+4	-1.354E-3	1.382E+0	2.464E+0
7.910E+4	-1.513E-3	1.371E+0	2.485E+0
8.010E+4	-1.017E-2	1.361E+0	2.489E+0
