Freq. (Hz)	Offset (V)	Ampl. (V)	Phase (Rad)
5.000E+4	5.952E-4	4.627E-2	1.823E-1
5.100E+4	3.739E-4	4.386E-2	2.069E-1
5.200E+4	6.424E-4	4.159E-2	2.576E-1
5.300E+4	1.005E-4	3.938E-2	3.019E-1
5.400E+4	7.935E-4	3.734E-2	3.327E-1
5.500E+4	3.828E-4	3.548E-2	3.666E-1
5.600E+4	-5.841E-4	3.369E-2	3.942E-1
5.700E+4	2.456E-4	3.194E-2	4.369E-1
5.800E+4	3.754E-4	3.035E-2	4.646E-1
5.900E+4	-6.022E-4	2.880E-2	4.954E-1
6.000E+4	2.772E-4	2.725E-2	5.356E-1
6.100E+4	1.683E-4	2.588E-2	5.563E-1
6.200E+4	4.045E-4	2.455E-2	5.778E-1
6.300E+4	-1.849E-4	2.328E-2	6.045E-1
6.400E+4	-4.947E-5	2.206E-2	6.169E-1
6.500E+4	-3.580E-4	2.092E-2	6.380E-1
6.600E+4	-6.326E-4	1.983E-2	6.513E-1
6.700E+4	1.161E-3	1.880E-2	6.721E-1
6.800E+4	4.150E-4	1.788E-2	6.781E-1
6.900E+4	1.430E-4	1.697E-2	6.823E-1
7.000E+4	1.150E-3	1.615E-2	6.832E-1
7.100E+4	-5.804E-4	1.531E-2	6.914E-1
7.200E+4	-2.828E-4	1.461E-2	6.924E-1
7.300E+4	4.326E-4	1.384E-2	6.825E-1
7.400E+4	2.567E-4	1.315E-2	6.809E-1
7.500E+4	-3.935E-4	1.251E-2	6.683E-1
7.600E+4	1.071E-3	1.193E-2	6.661E-1
7.700E+4	1.062E-3	1.141E-2	6.571E-1
7.800E+4	-5.683E-4	1.079E-2	6.272E-1
7.900E+4	1.579E-5	1.034E-2	6.027E-1
8.000E+4	3.156E-4	9.922E-3	5.861E-1
