Freq. (Hz)	Offset (V)	Ampl. (V)	Phase (Rad)
1.000E+2	6.860E-5	2.386E-2	1.158E-1
1.100E+3	1.395E-3	1.129E-1	1.321E+0
2.100E+3	-1.712E-4	1.186E-1	1.697E+0
3.100E+3	4.194E-4	1.174E-1	1.963E+0
4.100E+3	1.007E-3	1.140E-1	2.183E+0
5.100E+3	3.673E-4	1.096E-1	2.370E+0
6.100E+3	1.137E-3	1.046E-1	2.568E+0
7.100E+3	4.083E-4	9.894E-2	2.730E+0
8.100E+3	5.688E-4	9.324E-2	2.898E+0
9.100E+3	4.681E-4	8.761E-2	3.053E+0
1.010E+4	-1.505E-4	8.198E-2	-3.078E+0
1.110E+4	-7.836E-4	7.651E-2	-2.947E+0
1.210E+4	-6.169E-4	7.146E-2	-2.808E+0
1.310E+4	3.810E-4	6.663E-2	-2.691E+0
1.410E+4	-1.465E-4	6.201E-2	-2.576E+0
1.510E+4	-1.128E-4	5.754E-2	-2.430E+0
1.610E+4	9.549E-5	5.338E-2	-2.318E+0
1.710E+4	2.685E-4	4.967E-2	-2.219E+0
1.810E+4	-1.092E-3	4.635E-2	-2.097E+0
1.910E+4	5.350E-4	4.303E-2	-2.001E+0
2.010E+4	-1.523E-4	4.014E-2	-1.915E+0
2.110E+4	-7.384E-5	3.740E-2	-1.816E+0
2.210E+4	-5.083E-4	3.486E-2	-1.716E+0
2.310E+4	5.797E-4	3.263E-2	-1.628E+0
2.410E+4	-1.236E-3	3.041E-2	-1.536E+0
2.510E+4	6.576E-4	2.840E-2	-1.465E+0
2.610E+4	2.015E-4	2.658E-2	-1.368E+0
2.710E+4	6.419E-4	2.493E-2	-1.308E+0
2.810E+4	-2.281E-4	2.334E-2	-1.235E+0
2.910E+4	1.192E-3	2.186E-2	-1.141E+0
3.010E+4	4.754E-4	2.033E-2	-1.077E+0
3.110E+4	-4.036E-4	1.930E-2	-9.988E-1
3.210E+4	7.631E-4	1.821E-2	-9.281E-1
3.310E+4	4.702E-4	1.709E-2	-8.548E-1
3.410E+4	-1.257E-3	1.606E-2	-7.935E-1
3.510E+4	1.878E-4	1.516E-2	-7.359E-1
3.610E+4	-6.813E-4	1.431E-2	-6.785E-1
3.710E+4	3.684E-4	1.349E-2	-6.120E-1
3.810E+4	-1.276E-3	1.283E-2	-5.516E-1
3.910E+4	-8.438E-4	1.209E-2	-4.837E-1
4.010E+4	9.299E-4	1.143E-2	-4.280E-1
4.110E+4	-2.869E-4	1.079E-2	-3.665E-1
4.210E+4	-2.623E-4	1.019E-2	-3.097E-1
4.310E+4	2.500E-5	9.652E-3	-2.693E-1
4.410E+4	-4.384E-4	9.144E-3	-2.195E-1
4.510E+4	-5.696E-4	8.723E-3	-1.635E-1
4.610E+4	-7.539E-4	8.277E-3	-1.057E-1
4.710E+4	-6.509E-4	7.792E-3	-6.208E-2
4.810E+4	4.490E-4	7.495E-3	-2.371E-2
4.910E+4	-3.340E-5	7.135E-3	1.682E-2
5.010E+4	3.539E-4	6.775E-3	6.949E-2
5.110E+4	7.497E-4	6.410E-3	1.000E-1
5.210E+4	-3.117E-4	6.029E-3	1.413E-1
5.310E+4	9.096E-4	5.752E-3	1.874E-1
5.410E+4	-5.195E-6	5.510E-3	2.208E-1
5.510E+4	-5.852E-4	5.223E-3	2.524E-1
5.610E+4	5.320E-4	4.990E-3	2.999E-1
5.710E+4	-2.360E-4	4.704E-3	3.182E-1
5.810E+4	3.288E-4	4.504E-3	3.419E-1
5.910E+4	1.164E-3	4.299E-3	3.801E-1
6.010E+4	1.070E-4	4.041E-3	4.239E-1
6.110E+4	-2.350E-4	3.875E-3	4.514E-1
6.210E+4	-4.607E-5	3.657E-3	4.514E-1
6.310E+4	-1.079E-3	3.439E-3	4.833E-1
6.410E+4	6.793E-4	3.409E-3	5.223E-1
6.510E+4	9.577E-5	3.175E-3	5.190E-1
6.610E+4	4.316E-4	3.046E-3	5.428E-1
6.710E+4	4.251E-5	2.879E-3	5.784E-1
6.810E+4	1.170E-3	2.719E-3	5.692E-1
6.910E+4	-8.848E-5	2.612E-3	5.890E-1
7.010E+4	2.737E-4	2.515E-3	5.987E-1
7.110E+4	1.437E-3	2.396E-3	5.937E-1
7.210E+4	7.948E-4	2.242E-3	6.028E-1
7.310E+4	-1.892E-3	2.147E-3	5.772E-1
7.410E+4	-7.348E-4	2.023E-3	5.942E-1
7.510E+4	7.333E-4	1.817E-3	5.834E-1
7.610E+4	2.227E-4	1.870E-3	5.675E-1
7.710E+4	1.531E-3	1.748E-3	5.515E-1
7.810E+4	-1.030E-3	1.759E-3	5.432E-1
7.910E+4	-2.859E-4	1.613E-3	5.375E-1
8.010E+4	-1.224E-3	1.541E-3	4.522E-1
