Freq. (Hz)	Offset (V)	Ampl. (V)	Phase (Rad)
1.000E+2	6.860E-5	2.386E-2	1.158E-1
1.100E+3	1.395E-3	1.129E-1	1.321E+0
2.100E+3	-1.712E-4	1.186E-1	1.697E+0
3.100E+3	4.194E-4	1.174E-1	1.963E+0
4.100E+3	1.007E-3	1.140E-1	2.183E+0
5.100E+3	3.673E-4	1.096E-1	2.370E+0
6.100E+3	1.137E-3	1.046E-1	2.568E+0
7.100E+3	4.083E-4	9.894E-2	2.730E+0
8.100E+3	5.688E-4	9.324E-2	2.898E+0
9.100E+3	4.681E-4	8.761E-2	3.053E+0
1.010E+4	-1.505E-4	8.198E-2	-3.078E+0
1.110E+4	-7.836E-4	7.651E-2	-2.947E+0
1.210E+4	-6.169E-4	7.146E-2	-2.808E+0
1.310E+4	3.810E-4	6.663E-2	-2.691E+0
1.410E+4	-1.465E-4	6.201E-2	-2.576E+0
1.510E+4	-1.128E-4	5.754E-2	-2.430E+0
1.610E+4	9.549E-5	5.338E-2	-2.318E+0
1.710E+4	2.685E-4	4.967E-2	-2.219E+0
1.810E+4	-1.092E-3	4.635E-2	-2.097E+0
1.910E+4	5.350E-4	4.303E-2	-2.001E+0
2.010E+4	-1.523E-4	4.014E-2	-1.915E+0
2.110E+4	-7.384E-5	3.740E-2	-1.816E+0
2.210E+4	-5.083E-4	3.486E-2	-1.716E+0
2.310E+4	5.797E-4	3.263E-2	-1.628E+0
2.410E+4	-1.236E-3	3.041E-2	-1.536E+0
2.510E+4	6.576E-4	2.840E-2	-1.465E+0
2.610E+4	2.015E-4	2.658E-2	-1.368E+0
2.710E+4	6.419E-4	2.493E-2	-1.308E+0
2.810E+4	-2.281E-4	2.334E-2	-1.235E+0
2.910E+4	1.192E-3	2.186E-2	-1.141E+0
3.010E+4	4.754E-4	2.033E-2	-1.077E+0
3.110E+4	-4.036E-4	1.930E-2	-9.988E-1
3.210E+4	7.631E-4	1.821E-2	-9.281E-1
3.310E+4	4.702E-4	1.709E-2	-8.548E-1
3.410E+4	-1.257E-3	1.606E-2	-7.935E-1
3.510E+4	1.878E-4	1.516E-2	-7.359E-1
3.610E+4	-6.813E-4	1.431E-2	-6.785E-1
3.710E+4	3.684E-4	1.349E-2	-6.120E-1
3.810E+4	-1.276E-3	1.283E-2	-5.516E-1
3.910E+4	-8.438E-4	1.209E-2	-4.837E-1
4.010E+4	9.299E-4	1.143E-2	-4.280E-1
4.110E+4	-2.869E-4	1.079E-2	-3.665E-1
4.210E+4	-2.623E-4	1.019E-2	-3.097E-1
4.310E+4	2.500E-5	9.652E-3	-2.693E-1
4.410E+4	-4.384E-4	9.144E-3	-2.195E-1
4.510E+4	-5.696E-4	8.723E-3	-1.635E-1
4.610E+4	-7.539E-4	8.277E-3	-1.057E-1
4.710E+4	-6.509E-4	7.792E-3	-6.208E-2
4.810E+4	4.490E-4	7.495E-3	-2.371E-2
4.910E+4	-3.340E-5	7.135E-3	1.682E-2
5.000E+4	5.952E-4	4.627E-2	1.823E-1
5.100E+4	3.739E-4	4.386E-2	2.069E-1
5.200E+4	6.424E-4	4.159E-2	2.576E-1
5.300E+4	1.005E-4	3.938E-2	3.019E-1
5.400E+4	7.935E-4	3.734E-2	3.327E-1
5.500E+4	3.828E-4	3.548E-2	3.666E-1
5.600E+4	-5.841E-4	3.369E-2	3.942E-1
5.700E+4	2.456E-4	3.194E-2	4.369E-1
5.800E+4	3.754E-4	3.035E-2	4.646E-1
5.900E+4	-6.022E-4	2.880E-2	4.954E-1
6.000E+4	2.772E-4	2.725E-2	5.356E-1
6.100E+4	1.683E-4	2.588E-2	5.563E-1
6.200E+4	4.045E-4	2.455E-2	5.778E-1
6.300E+4	-1.849E-4	2.328E-2	6.045E-1
6.400E+4	-4.947E-5	2.206E-2	6.169E-1
6.500E+4	-3.580E-4	2.092E-2	6.380E-1
6.600E+4	-6.326E-4	1.983E-2	6.513E-1
6.700E+4	1.161E-3	1.880E-2	6.721E-1
6.800E+4	4.150E-4	1.788E-2	6.781E-1
6.900E+4	1.430E-4	1.697E-2	6.823E-1
7.000E+4	1.150E-3	1.615E-2	6.832E-1
7.100E+4	-5.804E-4	1.531E-2	6.914E-1
7.200E+4	-2.828E-4	1.461E-2	6.924E-1
7.300E+4	4.326E-4	1.384E-2	6.825E-1
7.400E+4	2.567E-4	1.315E-2	6.809E-1
7.500E+4	-3.935E-4	1.251E-2	6.683E-1
7.600E+4	1.071E-3	1.193E-2	6.661E-1
7.700E+4	1.062E-3	1.141E-2	6.571E-1
7.800E+4	-5.683E-4	1.079E-2	6.272E-1
7.900E+4	1.579E-5	1.034E-2	6.027E-1
8.000E+4	3.156E-4	9.922E-3	5.861E-1
