Freq. (Hz)	Offset (V)	Ampl. (V)	Phase (Rad)
5.000E+4	-6.674E-4	1.004E-2	8.947E-1
5.100E+4	1.704E-4	9.101E-3	9.110E-1
5.200E+4	9.863E-4	8.352E-3	9.124E-1
5.300E+4	-1.895E-3	7.525E-3	9.157E-1
5.400E+4	-9.382E-4	6.716E-3	9.223E-1
5.500E+4	-5.824E-4	6.079E-3	8.863E-1
5.600E+4	-2.759E-4	5.429E-3	8.450E-1
5.700E+4	-3.056E-5	4.886E-3	8.179E-1
5.800E+4	-5.775E-4	4.407E-3	7.667E-1
5.900E+4	-3.648E-5	3.924E-3	6.777E-1
6.000E+4	1.334E-3	3.549E-3	5.885E-1
6.100E+4	5.244E-5	3.350E-3	4.521E-1
6.200E+4	-7.935E-4	3.173E-3	3.539E-1
6.300E+4	-1.876E-4	3.097E-3	1.723E-1
6.400E+4	-5.536E-4	3.141E-3	3.853E-2
6.500E+4	3.851E-4	3.225E-3	-2.793E-2
6.600E+4	-2.114E-4	3.452E-3	-1.809E-1
6.700E+4	-5.426E-4	3.651E-3	-2.417E-1
6.800E+4	-5.372E-4	3.938E-3	-3.155E-1
6.900E+4	-1.453E-4	4.198E-3	-3.817E-1
7.000E+4	-4.652E-4	4.467E-3	-4.432E-1
7.100E+4	-3.421E-4	4.767E-3	-4.465E-1
7.200E+4	3.990E-4	5.054E-3	-4.831E-1
7.300E+4	1.942E-4	5.355E-3	-5.072E-1
7.400E+4	5.318E-4	5.682E-3	-5.099E-1
7.500E+4	8.663E-4	5.962E-3	-5.152E-1
7.600E+4	-8.254E-4	6.244E-3	-5.370E-1
7.700E+4	3.255E-4	6.545E-3	-5.445E-1
7.800E+4	-3.062E-5	6.839E-3	-5.421E-1
7.900E+4	1.275E-4	7.051E-3	-5.381E-1
8.000E+4	1.368E-4	7.383E-3	-5.218E-1
