Freq. (Hz)	Offset (V)	Ampl. (V)	Phase (Rad)
1.000E+2	-8.820E-5	2.243E-2	2.612E-1
1.100E+3	4.616E-4	6.190E-2	1.564E+0
2.100E+3	-1.685E-4	6.180E-2	1.928E+0
3.100E+3	-5.831E-4	5.984E-2	2.199E+0
4.100E+3	6.717E-4	5.721E-2	2.459E+0
5.100E+3	-2.008E-4	5.408E-2	2.681E+0
6.100E+3	-6.293E-4	5.067E-2	2.913E+0
7.100E+3	-3.520E-4	4.697E-2	3.122E+0
8.100E+3	6.911E-4	4.347E-2	-2.969E+0
9.100E+3	-2.082E-4	3.981E-2	-2.783E+0
1.010E+4	-9.414E-5	3.643E-2	-2.592E+0
1.110E+4	1.514E-4	3.344E-2	-2.430E+0
1.210E+4	1.133E-4	3.060E-2	-2.280E+0
1.310E+4	-2.734E-4	2.868E-2	-2.131E+0
1.410E+4	-8.459E-5	2.654E-2	-2.006E+0
1.510E+4	1.215E-3	2.291E-2	-1.804E+0
1.610E+4	4.704E-4	2.089E-2	-1.675E+0
1.710E+4	3.895E-4	1.901E-2	-1.534E+0
1.810E+4	-1.802E-4	1.738E-2	-1.411E+0
1.910E+4	2.571E-4	1.587E-2	-1.290E+0
2.010E+4	-2.348E-4	1.454E-2	-1.176E+0
2.110E+4	9.865E-4	1.328E-2	-1.066E+0
2.210E+4	-1.439E-4	1.215E-2	-9.455E-1
2.310E+4	-1.575E-4	1.115E-2	-8.286E-1
2.410E+4	-1.933E-4	1.025E-2	-7.438E-1
2.510E+4	2.382E-4	9.439E-3	-6.418E-1
2.610E+4	5.678E-5	8.675E-3	-5.463E-1
2.710E+4	-1.710E-4	7.999E-3	-4.570E-1
2.810E+4	1.766E-4	7.403E-3	-3.707E-1
2.910E+4	4.291E-4	6.783E-3	-2.817E-1
3.010E+4	2.199E-4	6.297E-3	-1.704E-1
3.110E+4	1.327E-4	5.835E-3	-1.012E-1
3.210E+4	-2.460E-5	5.428E-3	-2.571E-2
3.310E+4	-1.876E-6	4.995E-3	5.420E-2
3.410E+4	-4.109E-4	4.645E-3	1.251E-1
3.510E+4	6.799E-4	4.267E-3	1.991E-1
3.610E+4	3.236E-4	4.020E-3	2.467E-1
3.710E+4	5.740E-4	3.811E-3	2.948E-1
3.810E+4	3.573E-4	3.787E-3	2.986E-1
3.910E+4	2.317E-5	3.496E-3	3.556E-1
4.010E+4	4.030E-4	2.996E-3	4.634E-1
4.110E+4	-1.450E-4	2.717E-3	5.577E-1
4.210E+4	-8.665E-4	2.533E-3	6.018E-1
4.310E+4	-1.663E-4	2.316E-3	6.588E-1
4.410E+4	-1.250E-4	2.138E-3	7.080E-1
4.510E+4	-3.415E-4	2.017E-3	7.087E-1
4.610E+4	6.279E-4	1.939E-3	7.269E-1
4.710E+4	-1.543E-4	1.793E-3	7.636E-1
4.810E+4	-4.381E-4	1.681E-3	7.621E-1
4.910E+4	2.074E-4	1.534E-3	7.868E-1
5.010E+4	4.301E-4	1.499E-3	8.108E-1
5.110E+4	3.760E-4	1.266E-3	7.886E-1
5.210E+4	3.410E-4	1.176E-3	8.185E-1
5.310E+4	-1.709E-4	1.037E-3	8.232E-1
5.410E+4	-7.597E-4	9.726E-4	8.204E-1
5.510E+4	3.470E-4	8.504E-4	8.343E-1
5.610E+4	2.502E-4	6.868E-4	8.076E-1
5.710E+4	1.801E-4	5.924E-4	8.340E-1
5.810E+4	3.715E-4	5.833E-4	7.734E-1
5.910E+4	7.330E-5	4.539E-4	7.084E-1
6.010E+4	-1.524E-4	4.063E-4	6.247E-1
6.110E+4	-2.468E-4	3.723E-4	4.759E-1
6.210E+4	2.915E-5	4.215E-4	3.659E-1
6.310E+4	-3.906E-4	3.990E-4	1.814E-1
6.410E+4	-2.347E-4	3.887E-4	3.241E-2
6.510E+4	2.772E-4	3.875E-4	-9.233E-2
6.610E+4	4.930E-4	3.966E-4	-2.531E-1
6.710E+4	4.101E-4	4.750E-4	-2.267E-1
6.810E+4	1.315E-4	4.905E-4	-2.328E-1
6.910E+4	4.536E-4	5.702E-4	-4.326E-1
7.010E+4	4.940E-4	4.923E-4	-3.823E-1
7.110E+4	3.496E-4	5.990E-4	-3.947E-1
7.210E+4	-5.556E-4	7.158E-4	-5.853E-1
7.310E+4	-3.079E-4	6.960E-4	-4.839E-1
7.410E+4	7.321E-4	7.535E-4	-5.485E-1
7.510E+4	-9.292E-5	7.090E-4	-5.440E-1
7.610E+4	-3.132E-5	7.565E-4	-5.451E-1
7.710E+4	-4.249E-4	7.996E-4	-4.950E-1
7.810E+4	2.279E-4	8.970E-4	-5.620E-1
7.910E+4	-7.027E-5	8.578E-4	-5.489E-1
8.010E+4	-2.085E-4	9.318E-4	-5.249E-1
