Freq. (Hz)	Offset (V)	Ampl. (V)	Phase (Rad)
1.000E+2	-8.820E-5	2.243E-2	2.612E-1
1.100E+3	4.616E-4	6.190E-2	1.564E+0
2.100E+3	-1.685E-4	6.180E-2	1.928E+0
3.100E+3	-5.831E-4	5.984E-2	2.199E+0
4.100E+3	6.717E-4	5.721E-2	2.459E+0
5.100E+3	-2.008E-4	5.408E-2	2.681E+0
6.100E+3	-6.293E-4	5.067E-2	2.913E+0
7.100E+3	-3.520E-4	4.697E-2	3.122E+0
8.100E+3	6.911E-4	4.347E-2	-2.969E+0
9.100E+3	-2.082E-4	3.981E-2	-2.783E+0
1.010E+4	-9.414E-5	3.643E-2	-2.592E+0
1.110E+4	1.514E-4	3.344E-2	-2.430E+0
1.210E+4	1.133E-4	3.060E-2	-2.280E+0
1.310E+4	-2.734E-4	2.868E-2	-2.131E+0
1.410E+4	-8.459E-5	2.654E-2	-2.006E+0
1.510E+4	1.215E-3	2.291E-2	-1.804E+0
1.610E+4	4.704E-4	2.089E-2	-1.675E+0
1.710E+4	3.895E-4	1.901E-2	-1.534E+0
1.810E+4	-1.802E-4	1.738E-2	-1.411E+0
1.910E+4	2.571E-4	1.587E-2	-1.290E+0
2.010E+4	-2.348E-4	1.454E-2	-1.176E+0
2.110E+4	9.865E-4	1.328E-2	-1.066E+0
2.210E+4	-1.439E-4	1.215E-2	-9.455E-1
2.310E+4	-1.575E-4	1.115E-2	-8.286E-1
2.410E+4	-1.933E-4	1.025E-2	-7.438E-1
2.510E+4	2.382E-4	9.439E-3	-6.418E-1
2.610E+4	5.678E-5	8.675E-3	-5.463E-1
2.710E+4	-1.710E-4	7.999E-3	-4.570E-1
2.810E+4	1.766E-4	7.403E-3	-3.707E-1
2.910E+4	4.291E-4	6.783E-3	-2.817E-1
3.010E+4	2.199E-4	6.297E-3	-1.704E-1
3.110E+4	1.327E-4	5.835E-3	-1.012E-1
3.210E+4	-2.460E-5	5.428E-3	-2.571E-2
3.310E+4	-1.876E-6	4.995E-3	5.420E-2
3.410E+4	-4.109E-4	4.645E-3	1.251E-1
3.510E+4	6.799E-4	4.267E-3	1.991E-1
3.610E+4	3.236E-4	4.020E-3	2.467E-1
3.710E+4	5.740E-4	3.811E-3	2.948E-1
3.810E+4	3.573E-4	3.787E-3	2.986E-1
3.910E+4	2.317E-5	3.496E-3	3.556E-1
4.010E+4	4.030E-4	2.996E-3	4.634E-1
4.110E+4	-1.450E-4	2.717E-3	5.577E-1
4.210E+4	-8.665E-4	2.533E-3	6.018E-1
4.310E+4	-1.663E-4	2.316E-3	6.588E-1
4.410E+4	-1.250E-4	2.138E-3	7.080E-1
4.510E+4	-3.415E-4	2.017E-3	7.087E-1
4.610E+4	6.279E-4	1.939E-3	7.269E-1
4.710E+4	-1.543E-4	1.793E-3	7.636E-1
4.810E+4	-4.381E-4	1.681E-3	7.621E-1
4.910E+4	2.074E-4	1.534E-3	7.868E-1
5.000E+4	-6.674E-4	1.004E-2	8.947E-1
5.100E+4	1.704E-4	9.101E-3	9.110E-1
5.200E+4	9.863E-4	8.352E-3	9.124E-1
5.300E+4	-1.895E-3	7.525E-3	9.157E-1
5.400E+4	-9.382E-4	6.716E-3	9.223E-1
5.500E+4	-5.824E-4	6.079E-3	8.863E-1
5.600E+4	-2.759E-4	5.429E-3	8.450E-1
5.700E+4	-3.056E-5	4.886E-3	8.179E-1
5.800E+4	-5.775E-4	4.407E-3	7.667E-1
5.900E+4	-3.648E-5	3.924E-3	6.777E-1
6.000E+4	1.334E-3	3.549E-3	5.885E-1
6.100E+4	5.244E-5	3.350E-3	4.521E-1
6.200E+4	-7.935E-4	3.173E-3	3.539E-1
6.300E+4	-1.876E-4	3.097E-3	1.723E-1
6.400E+4	-5.536E-4	3.141E-3	3.853E-2
6.500E+4	3.851E-4	3.225E-3	-2.793E-2
6.600E+4	-2.114E-4	3.452E-3	-1.809E-1
6.700E+4	-5.426E-4	3.651E-3	-2.417E-1
6.800E+4	-5.372E-4	3.938E-3	-3.155E-1
6.900E+4	-1.453E-4	4.198E-3	-3.817E-1
7.000E+4	-4.652E-4	4.467E-3	-4.432E-1
7.100E+4	-3.421E-4	4.767E-3	-4.465E-1
7.200E+4	3.990E-4	5.054E-3	-4.831E-1
7.300E+4	1.942E-4	5.355E-3	-5.072E-1
7.400E+4	5.318E-4	5.682E-3	-5.099E-1
7.500E+4	8.663E-4	5.962E-3	-5.152E-1
7.600E+4	-8.254E-4	6.244E-3	-5.370E-1
7.700E+4	3.255E-4	6.545E-3	-5.445E-1
7.800E+4	-3.062E-5	6.839E-3	-5.421E-1
7.900E+4	1.275E-4	7.051E-3	-5.381E-1
8.000E+4	1.368E-4	7.383E-3	-5.218E-1
